"Propiedades de la ubicación"
"Nombre de la ubicación = Sin nombre"
"Identificación de ubicación = 7df69ec8-72e3-4a21-a514-9c4efcb05c96"
""
"Propiedades del informe"
"Hora de inicio = 2023-03-30 13:58:22"
"Duración = 34.20:01:38"
"Lecturas = 1675"
"Intervalo de tiempo = 02:00:00"
""
"Propiedades de los instrumentos"
"Modelo del dispositivo = VuLink Cellular"
"Dispositivo SN = 969970"
"Firmware del dispositivo = 1.70"
""
"Propiedades de los instrumentos"
"Modelo del dispositivo = Aqua TROLL 500"
"Dispositivo SN = 1003230"
""
"Propiedades del registro"
"Nombre del registro = Registro_2023-03-30"
"Tipo de log = Lineal"
"Número de archivo de registro = 3"
"Identificación del registro = fbbb46ba-3945-4e73-ad13-7c5844b2b255"
"Habilitado empaquetado de registros = True"
"Intervalo = 00:30:00"
""
""
"","VuLink Cellular 969970",,,,,,"Aqua TROLL 500 1003230",,,,,,
"Fecha Hora","Latitud (°) (969970)","Longitud (°) (969970)","Elevación (m) (969970)","Temperatura (°C) (969970)","Capacidad de la batería (%) (969970)","Presión barométrica (mm Hg) (969970)","Concentración RDO (mg/L) (1003620)","Nitrato (NO₃⁻ - N) (mg/L) (983048)","pH (pH) (982972)","ORP (mV) (982972)","Conductividad real (µS/cm) (1001986)","Temperatura (°C) (1003230)","Profundidad (ft) (997881)"
"2023-04-01 18:30:00","41.7471","1.844242","302.8","20.51434","98.73843","733.7193","11.99654","0.3290199","9.084481","146.3754","423.1389","17.08171","2.630885"
"2023-04-01 19:00:00","41.74702","1.84416","287.9","21.5654","98.73106","733.6561","11.9198","0.3325291","9.098097","151.7327","420.7632","17.03624","2.631515"
"2023-04-01 19:30:00","41.74708","1.844245","286.1","21.57613","98.72554","733.8841","11.85265","0.325988","9.094837","151.7518","420.367","17.01961","2.625771"
"2023-04-01 20:00:00","41.74713","1.844197","311.9","17.53276","98.72054","733.9205","11.83507","0.3269615","9.100129","150.3022","412.7472","16.91249","2.63733"
"2023-04-01 20:30:00","41.74679","1.844525","250.4","16.57823","98.71344","734.1736","11.85613","0.3260375","9.065358","153.1537","414.4454","16.85743","2.623474"
"2023-04-01 21:00:00","41.74706","1.844223","292.8","16.54605","98.70818","734.8539","11.7576","0.3175817","9.071833","151.3894","414.1649","16.84785","2.627908"
"2023-04-01 21:30:00","41.74728","1.844187","298.9","15.40919","98.70134","735.5975","11.67525","0.3208512","9.060798","153.6353","403.3544","16.83538","2.646684"
"2023-04-01 22:00:00","41.7471","1.844317","286.3","14.73351","98.69608","735.9156","11.60467","0.3066321","9.057608","152.9367","402.9905","16.80096",""
"2023-04-01 22:30:00","41.74696","1.844288","257.7","13.92913","98.69003","735.6573","11.54254","0.3115947","9.058119","153.1894","383.3317","16.78005","2.637922"
"2023-04-01 23:00:00","41.74683","1.844138","261.6","12.45979","98.68003","735.827","11.50796","0.3034564","9.051803","151.8829","383.2643","16.77171","2.634611"
"2023-04-01 23:30:00","41.74704","1.84429","289.4","11.65541","98.67529","736.1041","11.49516","0.2983747","9.051979","151.6063","410.7945","16.72532","2.648386"
"2023-04-02 00:00:00","41.74693","1.8442","273","11.33366","98.66898","736.0021","11.42073","0.2980439","9.048033","152.7698","410.5672","16.65964","2.657043"
"2023-04-02 00:30:00","41.74724","1.844518","382.3","10.63652","98.66399","735.9688","11.36718","0.2900003","9.038481","151.3345","410.2372","16.59477","2.6242"
"2023-04-02 01:00:00","41.74718","1.844255","286.1","9.982296","98.65741","736.1147","11.32838","0.2819045","9.036522","153.8332","404.6704","16.53904","2.645214"
"2023-04-02 01:30:00","41.74684","1.844058","250.5","9.274437","98.65267","735.6664","11.30948","0.2708081","9.026386","151.2511","397.5079","16.50132","2.63332"
"2023-04-02 02:00:00","41.74711","1.844315","257.3","8.448605","98.64557","735.6158","6.604087","0.2764236","9.025544","128.7611","372.1883","16.46374","2.635654"
"2023-04-02 02:30:00","41.74787","1.844073","314.6","8.352081","98.63926","735.82","8.091754","0.2710605","9.022805","128.4392","373.3755","16.42929","2.64571"
"2023-04-02 03:00:00","41.74638","1.844498","171.6","8.545132","98.634","735.966","10.56632","0.2717564","9.009606","141.8169","382.4416","16.40664","2.634781"
"2023-04-02 03:30:00","41.74707","1.844325","280.6","8.212654","98.62926","735.9387","10.89362","0.2688678","9.010437","152.1785","426.7453","16.35495","2.636709"
